time_s,NITROGEN_TANK_PT,IPA_TANK_PT,LOX_TANK_PT,LOX_LINE_PT,IPA_LINE_PT,LOX_VENTURI_1_PT,LOX_VENTURI_2_PT,IPA_VENTURI_1_PT,IPA_VENTURI_2_PT,CHAMBER_PT,IGNITER_PT,PFM_PT,POM_PT
1777067592.402335,0.0,,-375.0,-375.0,-375.0,-374.9,-176.1,176.5,-176.0,174.9,-177.4,174.8,-175.6
1777067592.402345,0.0,,-375.0,-375.0,-375.0,-374.9,-176.1,175.7,-176.0,174.9,-177.4,174.8,-175.6
1777067592.402355,0.0,,-375.0,-375.0,-375.0,-374.9,-176.1,175.7,-176.0,175.5,-177.4,174.8,-175.6
1777067592.402364,0.0,,-375.0,-375.0,-375.0,-374.9,-176.1,175.7,-176.0,175.5,-177.4,175.1,-175.6
1777067593.400713,0.0,,-375.0,-375.0,-375.0,-374.9,-176.1,175.7,-176.0,175.5,-177.4,175.1,-175.6
1777067593.400720,0.0,,-375.0,-375.0,-375.0,-374.9,-176.1,175.7,-176.0,175.5,-177.4,175.1,-175.6
1777067593.400724,0.0,,-375.0,-375.0,-375.0,-374.9,-176.1,175.7,-176.0,175.5,-177.4,175.1,-175.6
1777067593.400728,0.0,,-375.0,-375.0,-375.0,-374.9,-175.3,175.7,-176.0,175.5,-177.4,175.1,-175.6
1777067593.401671,0.0,,-375.0,-375.0,-375.0,-374.9,-175.3,175.5,-176.0,175.5,-177.4,175.1,-175.6
1777067593.401694,0.0,,-375.0,-375.0,-375.0,-374.9,-175.3,175.5,-176.0,175.3,-177.4,175.1,-175.6
1777067593.401699,0.0,,-375.0,-375.0,-375.0,-374.9,-175.3,175.5,-176.0,175.3,-177.4,175.8,-175.6
1777067594.401212,0.0,,-375.0,-375.0,-375.0,-374.9,-175.3,175.5,-176.0,175.3,-177.4,175.8,-175.6
1777067594.401226,0.0,,-375.0,-375.0,-375.0,-374.9,-175.3,175.5,-176.0,175.3,-177.4,175.8,-175.6
1777067594.401239,0.0,,-375.0,-375.0,-375.0,-374.9,-175.3,175.5,-176.0,175.3,-177.4,175.8,-175.6
1777067594.401247,0.0,,-375.0,-375.0,-375.0,-374.9,-175.7,175.5,-176.0,175.3,-177.4,175.8,-175.6
1777067594.401255,0.0,,-375.0,-375.0,-375.0,-374.9,-175.7,175.5,-175.8,175.3,-177.4,175.8,-175.6
1777067594.403143,0.0,,-375.0,-375.0,-375.0,-374.9,-175.7,175.5,-175.8,175.3,-176.9,175.8,-175.6
1777067594.403153,0.0,,-375.0,-375.0,-375.0,-374.9,-175.7,175.5,-175.8,175.3,-176.9,175.8,-175.3
1777067595.402701,0.0,,-375.0,-375.0,-375.0,-374.9,-175.7,175.5,-175.8,175.3,-176.9,175.8,-175.3
1777067595.402710,0.0,,-375.0,-375.0,-375.0,-374.9,-175.7,175.5,-175.8,175.3,-176.9,175.8,-175.3
1777067595.402714,0.0,,-375.0,-375.0,-374.9,-374.9,-175.7,175.5,-175.8,175.3,-176.9,175.8,-175.3
1777067595.402717,0.0,,-375.0,-375.0,-374.9,-374.9,-175.6,175.5,-175.8,175.3,-176.9,175.8,-175.3
1777067595.402722,0.0,,-375.0,-375.0,-374.9,-374.9,-175.6,175.5,-175.8,175.3,-176.9,175.8,-175.3
1777067595.402725,0.0,,-375.0,-375.0,-374.9,-374.9,-175.6,175.5,-175.8,175.3,-177.2,175.8,-175.3
1777067595.402730,0.0,,-375.0,-375.0,-374.9,-374.9,-175.6,175.5,-175.8,175.3,-177.2,175.8,-175.3
